uin,archive_status,financial_year,insurer,product_name,approval_date,product_type,document_url,document_text,scraped_at,approval_date_iso,insurer_code,uin_category,uin_type,uin_serial,uin_version,canonical_insurer,line_key,version_num,is_latest_version,product_key,score
MCIHLIP21512V032021,Non-Archived,2020-2021,Manipal Cigna Health Insurance Company Limited,ManipalCigna ProHealth Cash,29-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/MCIHLIP21512V032021_2020-2021.pdf/e2c54f30-66dd-0920-5357-d6f0eba9663d?version=1.1&t=1668594083988&download=true,MCIHLIP21512V032021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-29,MCI,HL,IP,21512,03,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|21512,3,True,manipalcigna prohealth cash,194
NBHHLIP22152V012122,Non-Archived,2021-2022,Niva Bupa Health Insurance co ltd,"Corona Kavach Policy, Niva Bupa Health Insurance Co. Ltd.",24-08-2021,Revision,https://irdai.gov.in/documents/37343/931203/NBHHLIP22152V012122_HEALTH2135.pdf/3ba2ec6e-e679-02cb-c1c1-07a1f121c163?version=1.1&t=1668766723171&download=true,NBHHLIP22152V012122_HEALTH2135.pdf,2026-08-21T06:22:28.557237+00:00,2021-08-24,NBH,HL,IP,22152,01,Niva Bupa Health Insurance Company Limited,NBH|HL|IP|22152,1,True,corona kavach niva bupa health co ltd,196
SBIHLIP22137V032122,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,Arogya Top up Policy,30-07-2021,Revision,https://irdai.gov.in/documents/37343/931203/SBIHLIP22137V032122_HEALTH2143.pdf/6370813a-97cf-75e4-63c5-ac10e2eafdbc?version=1.1&t=1668767288844&download=true,SBIHLIP22137V032122_HEALTH2143.pdf,2026-08-21T06:22:28.557237+00:00,2021-07-30,SBI,HL,IP,22137,03,SBI General Insurance Company Limited,SBI|HL|IP|22137,3,True,arogya top up,196
SHAHLIP22217V012122,Non-Archived,2021-2022,Star Health & Allied Insurance Co. Ltd,Star Women Care Insurance Policy,03-03-2022,New,https://irdai.gov.in/documents/37343/931203/SHAHLIP22217V012122.pdf/7afda123-c55e-7519-79fe-2eba9780c301?version=1.1&t=1668853646284&download=true,SHAHLIP22217V012122.pdf,2026-08-21T06:22:28.557237+00:00,2022-03-03,SHA,HL,IP,22217,01,Star Health and Allied Insurance Company Limited,SHA|HL|IP|22217,1,True,star women care,198
TATHLIP21286V022021,Non-Archived,2020-2021,Tata AIG General Insurance Co. Ltd.,Individual Accident and Sickness Hospital Cash policy,18-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/TATHLIP21286V022021_2020-2021.pdf/fa9ec31f-67e5-fc98-f360-aec1ef032eea?version=1.1&t=1668592935143&download=true,TATHLIP21286V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-18,TAT,HL,IP,21286,02,Tata AIG General Insurance Company Limited,TAT|HL|IP|21286,2,True,individual accident and sickness hospital cash,194
ADIHLIP21061V022021,Non-Archived,2020-2021,Aditya Birla Health Insurance Co. Ltd.,Super Health Plus Top Up,30-06-2020,Revision,https://irdai.gov.in/documents/37343/931203/ADIHLIP21061V022021_2020-2021.pdf/57e9f6ec-48f1-ad4a-e98e-4b6e947de35b?version=1.1&t=1668579497273&download=true,ADIHLIP21061V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-06-30,ADI,HL,IP,21061,02,Aditya Birla Health Insurance Company Limited,ADI|HL|IP|21061,2,True,super health plus top up,194
BAJHLIP21143V022021,Non-Archived,2020-2021,Bajaj Allianz General Insurance Co. Ltd,Health Care Supreme,08-12-2020,Revision,https://irdai.gov.in/documents/37343/931203/BAJHLIP21143V022021_2020-2021.pdf/36406f08-f807-4ccf-1efd-fe200b099f02?version=1.1&t=1668581669575&download=true,BAJHLIP21143V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-12-08,BAJ,HL,IP,21143,02,Bajaj Allianz General Insurance Company Limited,BAJ|HL|IP|21143,2,True,health care supreme,194
RHIHLIP21375V022021,Non-Archived,2020-2021,Care Health Insurance Ltd.,Assure,21-09-2020,Revision,https://irdai.gov.in/documents/37343/931203/RHIHLIP21375V022021_2020-2021.pdf/130715a5-5f39-a612-5134-df6dbcf20135?version=1.1&t=1668583820104&download=true,RHIHLIP21375V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-09-21,RHI,HL,IP,21375,02,Care Health Insurance Limited,RHI|HL|IP|21375,2,True,assure,194
HDFHLIP22021V042122,Non-Archived,2021-2022,HDFC ERGO General Insurance Co. Ltd.,my: health medisure Super Topup,19-05-2021,Revision,https://irdai.gov.in/documents/37343/931203/HDFHLIP22021V042122_HEALTH2016.pdf/cf850b83-268e-cffe-962c-9fdcedbd7d59?version=1.1&t=1668845231281&download=true,HDFHLIP22021V042122_HEALTH2016.pdf,2026-08-21T06:22:28.557237+00:00,2021-05-19,HDF,HL,IP,22021,04,HDFC ERGO General Insurance Company Limited,HDF|HL|IP|22021,4,True,my health medisure super topup,196
ICIHLIP22096V062122,Non-Archived,2021-2022,ICICI Lombard GI Co. Ltd.,ICICI LOMBARD COMPLETE HEALTH INSURANCE,02-07-2021,Revision,https://irdai.gov.in/documents/37343/931203/ICIHLIP22096V062122_HEALTH2106.pdf/6c9576c3-390b-6248-02c8-9948deaadafa?version=1.1&t=1668843201917&download=true,ICIHLIP22096V062122_HEALTH2106.pdf,2026-08-21T06:22:28.557237+00:00,2021-07-02,ICI,HL,IP,22096,06,ICICI Lombard General Insurance Company Limited,ICI|HL|IP|22096,6,True,icici lombard complete health,196
MCIHLIP21125V022021,Non-Archived,2020-2021,Manipal Cigna Health Insurance Company Limited,ManipalCigna Lifestyle Protection - Critical Care,29-07-2020,Revision,https://irdai.gov.in/documents/37343/931203/MCIHLIP21125V022021_2020-2021.pdf/8fbf7ad6-a22a-4629-a883-7fff16cf4a6d?version=1.1&t=1668593820254&download=true,MCIHLIP21125V022021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2020-07-29,MCI,HL,IP,21125,02,ManipalCigna Health Insurance Company Limited,MCI|HL|IP|21125,2,True,manipalcigna lifestyle protection critical care,194
MAXHLIP21575V012021,Non-Archived,2020-2021,Max Bupa Health Insurance Co. Ltd,Senior First,26-03-2021,New,https://irdai.gov.in/documents/37343/931203/MAXHLIP21575V012021_2020-2021.pdf/af129288-9d01-c04b-8c1f-85806a50aeab?version=1.1&t=1668594368083&download=true,MAXHLIP21575V012021_2020-2021.pdf,2026-08-21T06:22:28.557237+00:00,2021-03-26,MAX,HL,IP,21575,01,Niva Bupa Health Insurance Company Limited,MAX|HL|IP|21575,1,True,senior first,196
SBIHLIP22138V042122,Non-Archived,2021-2022,SBI General Insurance Co.Ltd.,Health Insurance Policy - Retail,30-07-2021,Revision,https://irdai.gov.in/documents/37343/931203/SBIHLIP22138V042122_HEALTH2144.pdf/93390802-d6e4-8a5b-df26-8e5c71b3332c?version=1.1&t=1668767321266&download=true,SBIHLIP22138V042122_HEALTH2144.pdf,2026-08-21T06:22:28.557237+00:00,2021-07-30,SBI,HL,IP,22138,04,SBI General Insurance Company Limited,SBI|HL|IP|22138,4,True,health retail,196
